rank,name,country,latitude,longitude,easting,northing,bbox_min_e,bbox_max_e,bbox_min_n,bbox_max_n,population
87,Worthing,England,50.81795,-0.37538,514541,103302,510000,515000,100000,105000,113866
88,Doncaster,England,53.52285,-1.13116,457700,403260,455000,460000,400000,405000,113566
89,Chesterfield,England,53.25,-1.41667,439019,372713,435000,440000,370000,375000,113057
90,Chelmsford,England,51.73575,0.46958,570624,207001,570000,575000,205000,210000,111511
91,Sutton Coldfield,England,52.56667,-1.81667,412524,296554,410000,415000,295000,300000,109899
92,Wakefield,England,53.68331,-1.49768,433275,420878,430000,435000,420000,425000,109766
93,Walthamstow,England,51.59067,-0.02077,537205,189835,535000,540000,185000,190000,109424
94,Dagenham,England,51.55,0.16667,550323,185681,550000,555000,185000,190000,108368
95,Basingstoke,England,51.26249,-1.08708,463795,151877,460000,465000,150000,155000,107642
96,Maidstone,England,51.26667,0.51667,575669,154954,575000,580000,150000,155000,107627
97,Bedford,England,52.13459,-0.46632,505069,249585,505000,510000,245000,250000,106940
98,Woking,England,51.31903,-0.55893,500521,158755,500000,505000,155000,160000,103900
99,Lincoln,England,53.22683,-0.53792,497703,370974,495000,500000,370000,375000,103813
100,West Bromwich,England,52.51868,-1.9945,400470,291200,400000,405000,290000,295000,103112
101,Eastbourne,England,50.76871,0.28453,561193,99057,560000,565000,95000,100000,101689
102,Worcester,England,52.18935,-2.22001,385056,254590,385000,390000,250000,255000,101659
103,Bath,England,51.3751,-2.36172,374919,164067,370000,375000,160000,165000,101557
104,Gillingham,England,51.38914,0.54863,577425,168649,575000,580000,165000,170000,101187
105,Rochdale,England,53.61766,-2.1552,389831,413469,385000,390000,410000,415000,97550
106,Hemel Hempstead,England,51.75368,-0.44975,507105,207246,505000,510000,205000,210000,95961
107,Romford,England,51.57515,0.18582,551567,188517,550000,555000,185000,190000,95000
108,Hayes,England,51.51579,-0.4234,509495,180830,505000,510000,180000,185000,93928
109,Harlow,England,51.77655,0.11158,545775,210762,545000,550000,210000,215000,93300
110,Hastings,England,50.85568,0.58009,581694,109412,580000,585000,105000,110000,92855
111,High Peak,England,53.36797,-1.84536,410387,385689,410000,415000,385000,390000,92666
112,Darlington,England,54.52429,-1.55039,429199,514426,425000,430000,510000,515000,92363
113,Stevenage,England,51.90224,-0.20256,523759,224159,520000,525000,220000,225000,91774
114,Southport,England,53.64581,-3.01008,333326,417063,330000,335000,415000,420000,91703
115,Chester,England,53.1905,-2.89189,340505,366306,340000,345000,365000,370000,90524
116,Wembley,England,51.55242,-0.29686,518180,185100,515000,520000,185000,190000,90045
117,Grays,England,51.47566,0.32521,561577,177752,560000,565000,175000,180000,89755
118,Harrogate,England,53.99078,-1.5373,430435,455070,430000,435000,455000,460000,89060
119,Hartlepool,England,54.68554,-1.21028,451010,532563,450000,455000,530000,535000,88855
120,Nuneaton,England,52.52323,-1.46523,436381,291840,435000,440000,290000,295000,88813
121,Redditch,England,52.3065,-1.94569,403800,267600,400000,405000,265000,270000,87847
122,Fulham,England,51.48026,-0.1993,525141,177238,525000,530000,175000,180000,87161
123,Grimsby,England,53.56539,-0.07553,527553,409364,525000,530000,405000,410000,86138
124,Cannock,England,52.69045,-2.03085,398012,310308,395000,400000,310000,315000,86121
125,St Albans,England,51.75,-0.33333,515150,207014,515000,520000,205000,210000,84561
126,South Shields,England,54.99859,-1.4323,436415,567260,435000,440000,565000,570000,83655
127,Derry,Northern Ireland,54.9981,-7.30934,60608,579959,60000,65000,575000,580000,83652
128,Weston-super-Mare,England,51.34603,-2.97665,332075,161225,330000,335000,160000,165000,82903
129,Halifax,England,53.71667,-1.85,409997,424483,405000,410000,420000,425000,82624
130,Edmonton,England,51.62561,-0.05798,534525,193652,530000,535000,190000,195000,82000
131,Tamworth,England,52.63399,-1.69587,420680,304070,420000,425000,300000,305000,81964
132,Gosport,England,50.79509,-1.12902,461483,99864,460000,465000,95000,100000,81952
133,Scunthorpe,England,53.57905,-0.65437,489191,410003,485000,490000,410000,415000,81576
134,Chatham,England,51.37891,0.52786,576019,167461,575000,580000,165000,170000,80596
135,Stockton-on-Tees,England,54.56848,-1.3187,444147,519464,440000,445000,515000,520000,79957
136,Carlisle,England,54.8951,-2.9382,339925,555999,335000,340000,555000,560000,78470
137,Southall,England,51.50896,-0.3713,513127,180149,510000,515000,180000,185000,78253
138,Rugby,England,52.37092,-1.26417,450195,275018,450000,455000,275000,280000,78117
139,Gateshead,England,54.96209,-1.60168,425603,563123,425000,430000,560000,565000,77649
140,Lisburn,Northern Ireland,54.52337,-6.03527,138979,521725,135000,140000,520000,525000,77506
